symbol,factor,representation,horizon,n_obs,pearson_corr,pearson_t,pearson_p,spearman_corr,spearman_t,spearman_p,spearman_first_half,spearman_second_half,temporal_consistent,horizon_consistent_5d_20d,horizon_sign_consistency_pct,horizon_consistent_sweep,mean_nw_t_stat,smoothness_index,abs_spearman_t
SA,PPI_电气机械及器材制造业(全国:当期同比增长率:月),diff,5d,23,0.25811681151390076,1.2243276834487915,0.23438671231269836,0.5710050823415703,4.259340849895481,2.0503062007959372e-05,0.022831288248861156,0.4973737925202259,True,True,1.0,True,3.275686905981144,0.06309443613857968,4.259340849895481
I,社会融资规模_当月值,zscore,5d,17,0.5103369968739337,2.2983549836161163,0.03633964245299274,0.6887254901960785,4.112670430030899,3.9110853762958087e-05,0.8571428571428572,0.5499999999999999,True,True,1.0,True,1.591751425429591,0.07662836836783019,4.112670430030899
RB,社会融资规模_当月值,zscore,5d,17,0.5047122431837479,2.264299891502762,0.03880626455513802,0.7058823529411765,4.083711057081439,4.4322136387053845e-05,0.7142857142857144,0.8333333333333333,True,True,1.0,True,2.3309101122954976,0.11735251117912279,4.083711057081439
NI,制造业采购经理指数PMI_新订单,diff,5d,124,0.18419775366783142,2.069949150085449,0.04056742414832115,0.2809475776126066,3.260489532893899,0.0011122007220119023,0.26699933697200906,0.31978841242437966,True,True,1.0,True,2.506714284217562,0.030171840070275478,3.260489532893899
CU,PPI_有色金属冶炼及压延加工业(全国:当期同比增长率:月),level,5d,125,-0.18222349882125854,-2.0553691387176514,0.04196007177233696,-0.26447695263732923,-3.170514871729247,0.0015216904325194847,-0.2323490533486252,-0.2712926182585222,True,True,1.0,True,1.9651961184657099,0.030781769834350936,3.170514871729247
C,居民粮食消费价格指数CPI_(上年=100)_当月,zscore,5d,118,0.18999213935512477,2.0842411428412446,0.0393333874295399,0.28262100146447106,3.015875940673866,0.002562380750362747,0.3254821741671538,0.19877264757451785,True,True,1.0,True,1.4603280678539754,0.033137931772836145,3.015875940673866
V,PPIRM_燃料及动力类(全国:当期同比增长率:月),level,5d,125,-0.2904495596885681,-3.3663644790649414,0.001016803435049951,-0.2665120280645747,-2.9469451646852276,0.0032093010880773765,-0.3263954469592275,-0.18373837395647005,True,True,1.0,True,2.2185866125326945,0.030739107173058066,2.9469451646852276
P,PMI_生产经营活动预期_全国_当期值_月,level,5d,99,0.2091740369796753,2.106729507446289,0.03772149980068207,0.28649599975384693,2.845623850291015,0.004432451904143875,0.22706739476414037,0.16695512850129554,True,False,0.19047619047619047,False,0.7139696461959206,0.04918233845520023,2.845623850291015
J,社会融资规模_当月值,zscore,5d,17,0.44885190900992367,1.9453715207150721,0.07071909201758908,0.6029411764705883,2.822135731549376,0.004770498217983032,0.5952380952380953,0.6833333333333333,True,True,1.0,True,1.4649793963903268,0.10475679437122824,2.822135731549376
AG,PPI_电气机械及器材制造业(全国:当期同比增长率:月),zscore,5d,33,-0.15449822588429155,-0.8706637181156037,0.390630386526493,-0.4164438502673797,-2.688234396116131,0.007183095490649549,-0.18235294117647058,-0.40196078431372556,True,True,1.0,True,2.354193692933268,0.04870333367232083,2.688234396116131
AU,国内生产总值GDP缩减指数,diff,5d,15,0.4298325479030609,1.716434359550476,0.10979875922203064,0.6118077768060558,2.679935854184102,0.007363626954568048,0.7142857142857144,0.32532481758051895,True,True,0.7619047619047619,False,0.7604146131912242,0.10510715979876262,2.679935854184102
TF,国内生产总值GDP(现价)_全国_当期同比增长率_季,level,5d,15,-0.426778644323349,-1.7015113830566406,0.11262587457895279,-0.4892857142857142,-2.6629268851183268,0.007746424371591898,-0.6071428571428572,-0.261904761904762,True,True,1.0,True,2.918654169917294,0.07527670046337749,2.6629268851183268
RU,PMI_生产经营活动预期_全国_当期值_月,level,5d,99,-0.07928988337516785,-0.7833811640739441,0.4353117048740387,-0.2426119104834749,-2.5646303117281968,0.0103285786884868,-0.21190233601780584,-0.17211802517847546,True,True,1.0,True,2.5939159311263387,0.023777417681455904,2.5646303117281968
CF,PPI_皮革、毛皮、羽毛及其制品和制鞋业(全国:当期同比增长率:月),diff,5d,41,-0.22103442251682281,-1.4153672456741333,0.1648971140384674,-0.3114723814282181,-2.4276464063785737,0.0151971516696634,-0.3505477712982216,-0.32996709849392897,True,True,1.0,True,2.2607955955725267,0.0434452562770908,2.4276464063785737
M,CPI_新涨价因素_当月,diff,5d,77,0.17827795445919037,1.5690685510635376,0.12084159255027771,0.26446456663185697,2.360595839327202,0.018245603132848842,0.2515875130611857,0.2516703837776612,True,True,1.0,True,0.9837918697150739,0.032171077318551976,2.360595839327202
Y,居民食品消费价格指数CPI_(上年=100)_当月,zscore,5d,115,-0.2593652685410416,-2.8547833046606272,0.00512508014811396,-0.21995581156790028,-2.3522122469102573,0.01866212283458113,-0.34236453201970446,0.01178135285613215,False,True,1.0,True,1.622897686992898,0.025584187820657564,2.3522122469102573
AL,PMI_生产经营活动预期_全国_当期值_月,diff,5d,98,0.2637287676334381,2.6788430213928223,0.00869266502559185,0.2225942291916432,2.2554464087257715,0.024105322529737405,0.1608802616652912,0.25884154963611344,True,True,0.9047619047619048,True,0.8738749493563078,0.04444038325799306,2.2554464087257715
SC,制造业采购经理指数PMI_进口,diff,5d,98,0.33049312233924866,3.430948495864868,0.0008884819108061492,0.21474897162037107,2.245652508027823,0.024726274387055325,0.3182990568182276,0.06469073279860052,True,True,0.5238095238095238,False,0.5697582515270868,0.03166984914990571,2.245652508027823
JD,居民蛋类消费价格指数CPI_(上年=100)_当月,diff,5d,140,-0.13042722642421722,-1.545373797416687,0.12454600632190704,-0.15279819060902788,-2.0635725702226453,0.03905826054944472,-0.14343044452041795,-0.14993831623027631,True,True,0.7619047619047619,False,0.8499453410987795,0.03113794126676856,2.0635725702226453
MA,制造业采购经理指数PMI_新订单,level,5d,124,0.20758222043514252,2.3438758850097656,0.020701410248875618,0.18076185375507384,2.0571525804843698,0.03967155124880395,0.06688594453800277,-0.028069650104452743,False,True,1.0,True,1.8554559206306362,0.028816700611211374,2.0571525804843698
SR,制造业采购经理指数PMI_购进价格,level,5d,124,0.11877141147851944,1.3212252855300903,0.18889878690242767,0.1751553969881097,1.9966776285682943,0.045860213887864765,-0.028509545382944663,0.355410612654581,False,True,1.0,True,0.774827635219475,0.03073786936156631,1.9966776285682943
SN,制造业采购经理指数PMI_购进价格,diff,5d,124,0.13564831018447876,1.5122623443603516,0.13305342197418213,0.1630323432351135,1.9828688120820104,0.04738208517565634,0.20480274142077207,0.12684941536403696,True,True,0.9523809523809523,True,0.8824814745571056,0.037052634943497684,1.9828688120820104
TA,PPI_纺织服装、服饰业(全国:当期同比增长率:月),level,5d,125,-0.19965901970863342,-2.259826183319092,0.025591416284441948,-0.1259434639808039,-1.3638534209941744,0.17261370312879754,-0.10405884958738824,-0.12810637813845857,True,True,1.0,True,1.0857517724348962,0.019787436834717023,1.3638534209941744
